"","AKFIN_SURVEY_YEAR","MAT_SEX","mean_lat","mean_lon","sum_CPUE","chk_lat","chk_lon","mean_weighted_lat","mean_weighted_lon","shrt"
"117",2008,"Immature Female",56.9289213235294,-163.871936176471,5719.34796760392,57.40578273589,-161.465892619721,57.40578273589,-161.465892619721,"'08"
"118",2008,"Immature Male",56.9289213235294,-163.871936176471,42732.7578590776,56.8551733978589,-161.890781907164,56.8551733978589,-161.890781907164,"'08"
"119",2008,"Legal Male",56.9289213235294,-163.871936176471,32131.6329332004,56.2393719980894,-162.568872322124,56.2393719980894,-162.568872322124,"'08"
"120",2008,"Mature Female",56.9289213235294,-163.871936176471,68502.625082101,56.8633912800288,-161.396665340121,56.8633912800288,-161.396665340121,"'08"
"121",2009,"Immature Female",56.9289213235294,-163.871936176471,3679.24956747766,57.2912140400816,-160.643736262054,57.2912140400816,-160.643736262054,"'09"
"122",2009,"Immature Male",56.9289213235294,-163.871936176471,23994.127939882,56.4515795360042,-161.964445719525,56.4515795360042,-161.964445719525,"'09"
"123",2009,"Legal Male",56.9289213235294,-163.871936176471,20597.5700169431,56.2357646042408,-162.381709978274,56.2357646042408,-162.381709978274,"'09"
"124",2009,"Mature Female",56.9289213235294,-163.871936176471,61382.3886283411,56.4177845822778,-161.975874893821,56.4177845822778,-161.975874893821,"'09"
"125",2010,"Immature Female",56.9289213235294,-163.871936176471,4335.88067542275,57.2330929014058,-160.734458889652,57.2330929014058,-160.734458889652,"'10"
"126",2010,"Immature Male",56.9289213235294,-163.871936176471,16106.5090429209,57.117486404922,-161.01223250035,57.117486404922,-161.01223250035,"'10"
"127",2010,"Legal Male",56.9289213235294,-163.871936176471,23372.6907161139,56.7034101143821,-161.612863368734,56.7034101143821,-161.612863368734,"'10"
"128",2010,"Mature Female",56.9289213235294,-163.871936176471,37596.9205277295,56.9414832089819,-161.323981536578,56.9414832089819,-161.323981536578,"'10"
"129",2011,"Immature Female",56.9289213235294,-163.871936176471,81684.2821030388,57.0395869683155,-159.249979674895,57.0395869683155,-159.249979674895,"'11"
"130",2011,"Immature Male",56.9289213235294,-163.871936176471,93403.6573443218,56.9962597221443,-159.524107226578,56.9962597221443,-159.524107226578,"'11"
"131",2011,"Legal Male",56.9289213235294,-163.871936176471,15257.7108872151,56.8931845244606,-161.639634386112,56.8931845244606,-161.639634386112,"'11"
"132",2011,"Mature Female",56.9289213235294,-163.871936176471,36121.8883998012,57.0416798859052,-161.189165615785,57.0416798859052,-161.189165615785,"'11"
"133",2012,"Immature Female",56.9289213235294,-163.871936176471,13244.3250532786,56.9669826681766,-161.080362203394,56.9669826681766,-161.080362203394,"'12"
"134",2012,"Immature Male",56.9289213235294,-163.871936176471,19955.7984961598,56.7962568774871,-161.152161380158,56.7962568774871,-161.152161380158,"'12"
"135",2012,"Legal Male",56.9289213235294,-163.871936176471,16713.0074341976,56.3594069772767,-162.08601508698,56.3594069772767,-162.08601508698,"'12"
"136",2012,"Mature Female",56.9289213235294,-163.871936176471,49648.435100921,56.4609664197483,-161.461152592316,56.4609664197483,-161.461152592316,"'12"
"137",2013,"Immature Female",56.9289213235294,-163.871936176471,3301.77755756684,57.2054912056633,-160.604364110004,57.2054912056633,-160.604364110004,"'13"
"138",2013,"Immature Male",56.9289213235294,-163.871936176471,16610.6006072226,56.9726240484378,-161.039952763033,56.9726240484378,-161.039952763033,"'13"
"139",2013,"Legal Male",56.9289213235294,-163.871936176471,23383.1031620001,56.60820922983,-161.777614523944,56.60820922983,-161.777614523944,"'13"
"140",2013,"Mature Female",56.9289213235294,-163.871936176471,38859.6585567568,56.4841279593189,-161.577800028259,56.4841279593189,-161.577800028259,"'13"
"141",2014,"Immature Female",56.9289213235294,-163.871936176471,7096.61044140798,57.1764444560024,-161.48812161062,57.1764444560024,-161.48812161062,"'14"
"142",2014,"Immature Male",56.9289213235294,-163.871936176471,38608.4432498032,57.0418798512537,-161.603370108758,57.0418798512537,-161.603370108758,"'14"
"143",2014,"Legal Male",56.9289213235294,-163.871936176471,30993.6632171448,56.6777289067257,-162.273969800578,56.6777289067257,-162.273969800578,"'14"
"144",2014,"Mature Female",56.9289213235294,-163.871936176471,92012.5902359376,56.65932308818,-161.766181621347,56.65932308818,-161.766181621347,"'14"
"145",2015,"Immature Female",56.9289213235294,-163.871936176471,6097.9371289799,57.0948830275602,-160.47926863935,57.0948830275602,-160.47926863935,"'15"
"146",2015,"Immature Male",56.9289213235294,-163.871936176471,16639.755490441,57.123849433093,-161.248596685088,57.123849433093,-161.248596685088,"'15"
"147",2015,"Legal Male",56.9289213235294,-163.871936176471,21732.5795573471,56.7091506464204,-162.097820610601,56.7091506464204,-162.097820610601,"'15"
"148",2015,"Mature Female",56.9289213235294,-163.871936176471,46004.3920075824,56.7512190814534,-161.308883605716,56.7512190814534,-161.308883605716,"'15"
"149",2016,"Immature Female",56.9275315441176,-163.873184705882,9085.91987158727,57.7972934499185,-160.424334230717,57.7972934499185,-160.424334230717,"'16"
"150",2016,"Immature Male",56.9275315441176,-163.873184705882,11722.0304376272,57.5765943426164,-160.937322503986,57.5765943426164,-160.937322503986,"'16"
"151",2016,"Legal Male",56.9275315441176,-163.873184705882,17822.1977439664,57.022601259523,-162.522032818214,57.022601259523,-162.522032818214,"'16"
"152",2016,"Mature Female",56.9275315441176,-163.873184705882,55933.3326445129,56.8757696649093,-161.970987524261,56.8757696649093,-161.970987524261,"'16"
